================================================================================
Experiment_logs_20241204_114505
Date: 2024-12-04 11:45:09
================================================================================

----------------------------------------
qnn_hp_s100_lr0.2_md6_cd5
----------------------------------------

Hyperparameters:
  Memory Depth: 6
  Training Steps: 100
  Learning Rate: 0.2
  Cutoff Dimension: 5

--------------------
Training Log
--------------------

Initial Parameters:
  Phase1: 4.0403
  Phase3: 0.2184
  Memristor Weight: 0.2823

Training Progress:
  Step    0: Loss = 40.7420, Phase1 = 4.2403, Phase3 = 0.0184, Weight = 0.0823
  Step    1: Loss = 34.7922, Phase1 = 4.4405, Phase3 = 0.0000, Weight = 0.0100
  Step    2: Loss = 28.9897, Phase1 = 4.6412, Phase3 = 0.0000, Weight = 0.0100
  Step    3: Loss = 23.1850, Phase1 = 4.8423, Phase3 = 0.0000, Weight = 0.0100
  Step    4: Loss = 17.4123, Phase1 = 5.0435, Phase3 = 0.0000, Weight = 0.0100
  Step    5: Loss = 12.1673, Phase1 = 5.2432, Phase3 = 0.0000, Weight = 0.0100
  Step    6: Loss = 7.8390, Phase1 = 5.4391, Phase3 = 0.0000, Weight = 0.0100
  Step    7: Loss = 4.6464, Phase1 = 5.6279, Phase3 = 0.0000, Weight = 0.0100
  Step    8: Loss = 2.6148, Phase1 = 5.8057, Phase3 = 0.0000, Weight = 0.0100
  Step    9: Loss = 1.6055, Phase1 = 5.9690, Phase3 = 0.0000, Weight = 0.0100
  Step   10: Loss = 1.3874, Phase1 = 6.1144, Phase3 = 0.0000, Weight = 0.0100
  Step   11: Loss = 1.7077, Phase1 = 6.2398, Phase3 = 0.0000, Weight = 0.0275
  Step   12: Loss = 2.2881, Phase1 = 6.2832, Phase3 = 0.0000, Weight = 0.0612
  Step   13: Loss = 2.4943, Phase1 = 6.2832, Phase3 = 0.0000, Weight = 0.1060
  Step   14: Loss = 2.4096, Phase1 = 6.2832, Phase3 = 0.0000, Weight = 0.1571
  Step   15: Loss = 2.3404, Phase1 = 6.2832, Phase3 = 0.0000, Weight = 0.2108
  Step   16: Loss = 2.2939, Phase1 = 6.2832, Phase3 = 0.0000, Weight = 0.2637
  Step   17: Loss = 2.2704, Phase1 = 6.2832, Phase3 = 0.0000, Weight = 0.3135
  Step   18: Loss = 2.2664, Phase1 = 6.2832, Phase3 = 0.0000, Weight = 0.3582
  Step   19: Loss = 2.2763, Phase1 = 6.2760, Phase3 = 0.0000, Weight = 0.3964
  Step   20: Loss = 2.2306, Phase1 = 6.2571, Phase3 = 0.0000, Weight = 0.4274
  Step   21: Loss = 2.0833, Phase1 = 6.2280, Phase3 = 0.0000, Weight = 0.4518
  Step   22: Loss = 1.8523, Phase1 = 6.1901, Phase3 = 0.0000, Weight = 0.4710
  Step   23: Loss = 1.5683, Phase1 = 6.1454, Phase3 = 0.0000, Weight = 0.4868
  Step   24: Loss = 1.2687, Phase1 = 6.0958, Phase3 = 0.0000, Weight = 0.5014
  Step   25: Loss = 0.9888, Phase1 = 6.0435, Phase3 = 0.0000, Weight = 0.5168
  Step   26: Loss = 0.7563, Phase1 = 5.9905, Phase3 = 0.0000, Weight = 0.5347
  Step   27: Loss = 0.5885, Phase1 = 5.9389, Phase3 = 0.0000, Weight = 0.5565
  Step   28: Loss = 0.4904, Phase1 = 5.8905, Phase3 = 0.0000, Weight = 0.5832
  Step   29: Loss = 0.4560, Phase1 = 5.8472, Phase3 = 0.0000, Weight = 0.6152
  Step   30: Loss = 0.4701, Phase1 = 5.8104, Phase3 = 0.0000, Weight = 0.6526
  Step   31: Loss = 0.5115, Phase1 = 5.7812, Phase3 = 0.0000, Weight = 0.6952
  Step   32: Loss = 0.5571, Phase1 = 5.7603, Phase3 = 0.0000, Weight = 0.7428
  Step   33: Loss = 0.5862, Phase1 = 5.7479, Phase3 = 0.0000, Weight = 0.7947
  Step   34: Loss = 0.5845, Phase1 = 5.7438, Phase3 = 0.0000, Weight = 0.8504
  Step   35: Loss = 0.5464, Phase1 = 5.7475, Phase3 = 0.0000, Weight = 0.9091
  Step   36: Loss = 0.4753, Phase1 = 5.7577, Phase3 = 0.0000, Weight = 0.9700
  Step   37: Loss = 0.3826, Phase1 = 5.7731, Phase3 = 0.0000, Weight = 1.0000
  Step   38: Loss = 0.3076, Phase1 = 5.7923, Phase3 = 0.0000, Weight = 1.0000
  Step   39: Loss = 0.2559, Phase1 = 5.8138, Phase3 = 0.0000, Weight = 1.0000
  Step   40: Loss = 0.2141, Phase1 = 5.8359, Phase3 = 0.0000, Weight = 1.0000
  Step   41: Loss = 0.1884, Phase1 = 5.8574, Phase3 = 0.0000, Weight = 1.0000
  Step   42: Loss = 0.1806, Phase1 = 5.8769, Phase3 = 0.0000, Weight = 1.0000
  Step   43: Loss = 0.1882, Phase1 = 5.8934, Phase3 = 0.0000, Weight = 1.0000
  Step   44: Loss = 0.2054, Phase1 = 5.9059, Phase3 = 0.0000, Weight = 1.0000
  Step   45: Loss = 0.2251, Phase1 = 5.9140, Phase3 = 0.0000, Weight = 1.0000
  Step   46: Loss = 0.2409, Phase1 = 5.9175, Phase3 = 0.0000, Weight = 1.0000
  Step   47: Loss = 0.2485, Phase1 = 5.9166, Phase3 = 0.0000, Weight = 1.0000
  Step   48: Loss = 0.2465, Phase1 = 5.9116, Phase3 = 0.0000, Weight = 1.0000
  Step   49: Loss = 0.2361, Phase1 = 5.9034, Phase3 = 0.0000, Weight = 1.0000
  Step   50: Loss = 0.2207, Phase1 = 5.8926, Phase3 = 0.0000, Weight = 1.0000
  Step   51: Loss = 0.2043, Phase1 = 5.8802, Phase3 = 0.0000, Weight = 1.0000
  Step   52: Loss = 0.1909, Phase1 = 5.8674, Phase3 = 0.0000, Weight = 1.0000
  Step   53: Loss = 0.1828, Phase1 = 5.8549, Phase3 = 0.0000, Weight = 1.0000
  Step   54: Loss = 0.1807, Phase1 = 5.8437, Phase3 = 0.0000, Weight = 1.0000
  Step   55: Loss = 0.1836, Phase1 = 5.8345, Phase3 = 0.0000, Weight = 1.0000
  Step   56: Loss = 0.1895, Phase1 = 5.8277, Phase3 = 0.0000, Weight = 1.0000
  Step   57: Loss = 0.1958, Phase1 = 5.8237, Phase3 = 0.0000, Weight = 1.0000
  Step   58: Loss = 0.2003, Phase1 = 5.8225, Phase3 = 0.0000, Weight = 1.0000
  Step   59: Loss = 0.2018, Phase1 = 5.8240, Phase3 = 0.0000, Weight = 1.0000
  Step   60: Loss = 0.2000, Phase1 = 5.8278, Phase3 = 0.0000, Weight = 1.0000
  Step   61: Loss = 0.1957, Phase1 = 5.8335, Phase3 = 0.0000, Weight = 1.0000
  Step   62: Loss = 0.1903, Phase1 = 5.8404, Phase3 = 0.0000, Weight = 1.0000
  Step   63: Loss = 0.1854, Phase1 = 5.8479, Phase3 = 0.0000, Weight = 1.0000
  Step   64: Loss = 0.1820, Phase1 = 5.8554, Phase3 = 0.0000, Weight = 1.0000
  Step   65: Loss = 0.1806, Phase1 = 5.8623, Phase3 = 0.0000, Weight = 1.0000
  Step   66: Loss = 0.1812, Phase1 = 5.8681, Phase3 = 0.0000, Weight = 1.0000
